# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-117.888264 0.999981 0.008483 0.999981 0.008483 
-117.731185 0.999981 0.008494 0.999981 0.008494 
-117.574105 0.999981 0.008505 0.999981 0.008505 
-117.417025 0.999981 0.008517 0.999981 0.008517 
-117.259946 0.999981 0.008528 0.999981 0.008528 
-117.102866 0.999981 0.008539 0.999981 0.008539 
-116.945787 0.999981 0.008551 0.999981 0.008551 
-116.788707 0.999981 0.008562 0.999981 0.008562 
-116.631627 0.999981 0.008574 0.999981 0.008574 
-116.474548 0.999981 0.008586 0.999981 0.008586 
-116.317468 0.999981 0.008597 0.999981 0.008597 
-116.160388 0.999981 0.008609 0.999981 0.008609 
-116.003309 0.999981 0.008620 0.999981 0.008620 
-115.846229 0.999981 0.008632 0.999981 0.008632 
-115.689149 0.999981 0.008644 0.999981 0.008644 
-115.532070 0.999981 0.008656 0.999981 0.008656 
-115.374990 0.999981 0.008667 0.999981 0.008667 
-115.217911 0.999981 0.008679 0.999981 0.008679 
-115.060831 0.999981 0.008691 0.999981 0.008691 
-114.903751 0.999980 0.008703 0.999980 0.008703 
-114.746672 0.999980 0.008715 0.999980 0.008715 
-114.589592 0.999980 0.008727 0.999980 0.008727 
-114.432512 0.999980 0.008739 0.999980 0.008739 
-114.275433 0.999980 0.008751 0.999980 0.008751 
-114.118353 0.999980 0.008763 0.999980 0.008763 
-113.961274 0.999980 0.008775 0.999980 0.008775 
-113.804194 0.999980 0.008787 0.999980 0.008787 
-113.647114 0.999980 0.008799 0.999980 0.008799 
-113.490035 0.999980 0.008811 0.999980 0.008811 
-113.332955 0.999980 0.008824 0.999980 0.008824 
-113.175875 0.999980 0.008836 0.999980 0.008836 
-113.018796 0.999980 0.008848 0.999980 0.008848 
-112.861716 0.999980 0.008860 0.999980 0.008860 
-112.704636 0.999980 0.008873 0.999980 0.008873 
-112.547557 0.999980 0.008885 0.999980 0.008885 
-112.390477 0.999980 0.008898 0.999980 0.008898 
-112.233398 0.999980 0.008910 0.999980 0.008910 
-112.076318 0.999979 0.008922 0.999979 0.008922 
-111.919238 0.999979 0.008935 0.999979 0.008935 
-111.762159 0.999979 0.008948 0.999979 0.008948 
-111.605079 0.999979 0.008960 0.999979 0.008960 
-111.447999 0.999979 0.008973 0.999979 0.008973 
-111.290920 0.999979 0.008985 0.999979 0.008985 
-111.133840 0.999979 0.008998 0.999979 0.008998 
-110.976760 0.999979 0.009011 0.999979 0.009011 
-110.819681 0.999979 0.009024 0.999979 0.009024 
-110.662601 0.999979 0.009036 0.999979 0.009036 
-110.505522 0.999979 0.009049 0.999979 0.009049 
-110.348442 0.999979 0.009062 0.999979 0.009062 
-110.191362 0.999979 0.009075 0.999979 0.009075 
-110.034283 0.999979 0.009088 0.999979 0.009088 
-109.877203 0.999979 0.009101 0.999979 0.009101 
-109.720123 0.999979 0.009114 0.999979 0.009114 
-109.563044 0.999979 0.009127 0.999979 0.009127 
-109.405964 0.999978 0.009140 0.999978 0.009140 
-109.248885 0.999978 0.009153 0.999978 0.009153 
-109.091805 0.999978 0.009167 0.999978 0.009167 
-108.934725 0.999978 0.009180 0.999978 0.009180 
-108.777646 0.999978 0.009193 0.999978 0.009193 
-108.620566 0.999978 0.009206 0.999978 0.009206 
-108.463486 0.999978 0.009220 0.999978 0.009220 
-108.306407 0.999978 0.009233 0.999978 0.009233 
-108.149327 0.999978 0.009246 0.999978 0.009246 
-107.992247 0.999978 0.009260 0.999978 0.009260 
-107.835168 0.999978 0.009273 0.999978 0.009273 
-107.678088 0.999978 0.009287 0.999978 0.009287 
-107.521009 0.999978 0.009300 0.999978 0.009300 
-107.363929 0.999978 0.009314 0.999978 0.009314 
-107.206849 0.999978 0.009328 0.999978 0.009328 
-107.049770 0.999978 0.009341 0.999978 0.009341 
-106.892690 0.999977 0.009355 0.999977 0.009355 
-106.735610 0.999977 0.009369 0.999977 0.009369 
-106.578531 0.999977 0.009383 0.999977 0.009383 
-106.421451 0.999977 0.009397 0.999977 0.009397 
-106.264372 0.999977 0.009410 0.999977 0.009410 
-106.107292 0.999977 0.009424 0.999977 0.009424 
-105.950212 0.999977 0.009438 0.999977 0.009438 
-105.793133 0.999977 0.009452 0.999977 0.009452 
-105.636053 0.999977 0.009466 0.999977 0.009466 
-105.478973 0.999977 0.009481 0.999977 0.009481 
-105.321894 0.999977 0.009495 0.999977 0.009495 
-105.164814 0.999977 0.009509 0.999977 0.009509 
-105.007734 0.999977 0.009523 0.999977 0.009523 
-104.850655 0.999977 0.009537 0.999977 0.009537 
-104.693575 0.999976 0.009552 0.999976 0.009552 
-104.536496 0.999976 0.009566 0.999976 0.009566 
-104.379416 0.999976 0.009580 0.999976 0.009580 
-104.222336 0.999976 0.009595 0.999976 0.009595 
-104.065257 0.999976 0.009609 0.999976 0.009609 
-103.908177 0.999976 0.009624 0.999976 0.009624 
-103.751097 0.999976 0.009638 0.999976 0.009638 
-103.594018 0.999976 0.009653 0.999976 0.009653 
-103.436938 0.999976 0.009668 0.999976 0.009668 
-103.279858 0.999976 0.009682 0.999976 0.009682 
-103.122779 0.999976 0.009697 0.999976 0.009697 
-102.965699 0.999976 0.009712 0.999976 0.009712 
-102.808620 0.999976 0.009727 0.999976 0.009727 
-102.651540 0.999976 0.009742 0.999976 0.009742 
-102.494460 0.999975 0.009757 0.999975 0.009757 
-102.337381 0.999975 0.009772 0.999975 0.009772 
-102.180301 0.999975 0.009787 0.999975 0.009787 
-102.023221 0.999975 0.009802 0.999975 0.009802 
-101.866142 0.999975 0.009817 0.999975 0.009817 
