# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
0.660000 1.778298 -0.215182 1.778298 -0.215182 
0.690000 1.768675 -0.220516 1.768675 -0.220516 
0.720000 1.759129 -0.226100 1.759129 -0.226100 
0.750000 1.749665 -0.231934 1.749665 -0.231934 
0.780000 1.740287 -0.238020 1.740287 -0.238020 
0.810000 1.731001 -0.244360 1.731001 -0.244360 
0.840000 1.721811 -0.250953 1.721811 -0.250953 
0.870000 1.712725 -0.257801 1.712725 -0.257801 
0.900000 1.703747 -0.264905 1.703747 -0.264905 
0.930000 1.694883 -0.272266 1.694883 -0.272266 
0.960000 1.686141 -0.279883 1.686141 -0.279883 
0.990000 1.677525 -0.287759 1.677525 -0.287759 
1.020000 1.669043 -0.295892 1.669043 -0.295892 
1.050000 1.660702 -0.304284 1.660702 -0.304284 
1.080000 1.652508 -0.312935 1.652508 -0.312935 
1.110000 1.644469 -0.321844 1.644469 -0.321844 
1.140000 1.636592 -0.331012 1.636592 -0.331012 
1.170000 1.628885 -0.340438 1.628885 -0.340438 
1.200000 1.621355 -0.350122 1.621355 -0.350122 
1.230000 1.614011 -0.360062 1.614011 -0.360062 
1.260000 1.606860 -0.370258 1.606860 -0.370258 
1.290000 1.599912 -0.380708 1.599912 -0.380708 
1.320000 1.593175 -0.391411 1.593175 -0.391411 
1.350000 1.586657 -0.402365 1.586657 -0.402365 
1.380000 1.580368 -0.413567 1.580368 -0.413567 
1.410000 1.574316 -0.425016 1.574316 -0.425016 
1.440000 1.568512 -0.436707 1.568512 -0.436707 
1.470000 1.562964 -0.448639 1.562964 -0.448639 
1.500000 1.557682 -0.460807 1.557682 -0.460807 
1.530000 1.552675 -0.473207 1.552675 -0.473207 
1.560000 1.547954 -0.485834 1.547954 -0.485834 
1.590000 1.543529 -0.498684 1.543529 -0.498684 
1.620000 1.539408 -0.511752 1.539408 -0.511752 
1.650000 1.535603 -0.525030 1.535603 -0.525030 
1.680000 1.532123 -0.538513 1.532123 -0.538513 
1.710000 1.528978 -0.552194 1.528978 -0.552194 
1.740000 1.526178 -0.566065 1.526178 -0.566065 
1.770000 1.523733 -0.580119 1.523733 -0.580119 
1.800000 1.521653 -0.594346 1.521653 -0.594346 
1.830000 1.519947 -0.608737 1.519947 -0.608737 
1.860000 1.518624 -0.623283 1.518624 -0.623283 
1.890000 1.517694 -0.637973 1.517694 -0.637973 
1.920000 1.517167 -0.652797 1.517167 -0.652797 
1.950000 1.517049 -0.667742 1.517049 -0.667742 
1.980000 1.517351 -0.682797 1.517351 -0.682797 
2.010000 1.518080 -0.697949 1.518080 -0.697949 
2.040000 1.519244 -0.713185 1.519244 -0.713185 
2.070000 1.520849 -0.728490 1.520849 -0.728490 
2.100000 1.522903 -0.743851 1.522903 -0.743851 
2.130000 1.525412 -0.759252 1.525412 -0.759252 
2.160000 1.528381 -0.774678 1.528381 -0.774678 
2.190000 1.531816 -0.790113 1.531816 -0.790113 
2.220000 1.535720 -0.805541 1.535720 -0.805541 
2.250000 1.540097 -0.820944 1.540097 -0.820944 
2.280000 1.544950 -0.836305 1.544950 -0.836305 
2.310000 1.550282 -0.851607 1.550282 -0.851607 
2.340000 1.556093 -0.866831 1.556093 -0.866831 
2.370000 1.562384 -0.881960 1.562384 -0.881960 
2.400000 1.569154 -0.896974 1.569154 -0.896974 
2.430000 1.576402 -0.911856 1.576402 -0.911856 
2.460000 1.584126 -0.926586 1.584126 -0.926586 
2.490000 1.592322 -0.941145 1.592322 -0.941145 
2.520000 1.600986 -0.955514 1.600986 -0.955514 
