# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
2.280000 0.081966 0.081966 0.081966 0.081966
2.310000 0.081427 0.081427 0.081427 0.081427
2.340000 0.080875 0.080875 0.080875 0.080875
2.370000 0.080311 0.080311 0.080311 0.080311
2.400000 0.079739 0.079739 0.079739 0.079739
2.430000 0.079159 0.079159 0.079159 0.079159
2.460000 0.078576 0.078576 0.078576 0.078576
2.490000 0.077990 0.077990 0.077990 0.077990
2.520000 0.077404 0.077404 0.077404 0.077404
2.550000 0.076819 0.076819 0.076819 0.076819
2.580000 0.076237 0.076237 0.076237 0.076237
2.610000 0.075659 0.075659 0.075659 0.075659
2.640000 0.075087 0.075087 0.075087 0.075087
2.670000 0.074522 0.074522 0.074522 0.074522
2.700000 0.073964 0.073964 0.073964 0.073964
2.730000 0.073415 0.073415 0.073415 0.073415
2.760000 0.072875 0.072875 0.072875 0.072875
2.790000 0.072345 0.072345 0.072345 0.072345
2.820000 0.071825 0.071825 0.071825 0.071825
2.850000 0.071315 0.071315 0.071315 0.071315
2.880000 0.070816 0.070816 0.070816 0.070816
2.910000 0.070328 0.070328 0.070328 0.070328
2.940000 0.069851 0.069851 0.069851 0.069851
2.970000 0.069384 0.069384 0.069384 0.069384
3.000000 0.068928 0.068928 0.068928 0.068928
3.030000 0.068482 0.068482 0.068482 0.068482
3.060000 0.068046 0.068046 0.068046 0.068046
3.090000 0.067620 0.067620 0.067620 0.067620
3.120000 0.067203 0.067203 0.067203 0.067203
3.150000 0.066795 0.066795 0.066795 0.066795
3.180000 0.066395 0.066395 0.066395 0.066395
3.210000 0.066002 0.066002 0.066002 0.066002
3.240000 0.065617 0.065617 0.065617 0.065617
3.270000 0.065238 0.065238 0.065238 0.065238
3.300000 0.064864 0.064864 0.064864 0.064864
3.330000 0.064496 0.064496 0.064496 0.064496
3.360000 0.064133 0.064133 0.064133 0.064133
3.390000 0.063773 0.063773 0.063773 0.063773
3.420000 0.063416 0.063416 0.063416 0.063416
3.450000 0.063062 0.063062 0.063062 0.063062
3.480000 0.062709 0.062709 0.062709 0.062709
3.510000 0.062357 0.062357 0.062357 0.062357
3.540000 0.062005 0.062005 0.062005 0.062005
3.570000 0.061653 0.061653 0.061653 0.061653
3.600000 0.061300 0.061300 0.061300 0.061300
3.630000 0.060944 0.060944 0.060944 0.060944
3.660000 0.060586 0.060586 0.060586 0.060586
3.690000 0.060225 0.060225 0.060225 0.060225
3.720000 0.059860 0.059860 0.059860 0.059860
3.750000 0.059489 0.059489 0.059489 0.059489
3.780000 0.059114 0.059114 0.059114 0.059114
3.810000 0.058732 0.058732 0.058732 0.058732
3.840000 0.058343 0.058343 0.058343 0.058343
3.870000 0.057947 0.057947 0.057947 0.057947
3.900000 0.057543 0.057543 0.057543 0.057543
3.930000 0.057130 0.057130 0.057130 0.057130
3.960000 0.056708 0.056708 0.056708 0.056708
3.990000 0.056275 0.056275 0.056275 0.056275
4.020000 0.055832 0.055832 0.055832 0.055832
4.050000 0.055379 0.055379 0.055379 0.055379
4.080000 0.054913 0.054913 0.054913 0.054913
4.110000 0.054435 0.054435 0.054435 0.054435
4.140000 0.053945 0.053945 0.053945 0.053945
4.170000 0.053442 0.053442 0.053442 0.053442
4.200000 0.052925 0.052925 0.052925 0.052925
4.230000 0.052395 0.052395 0.052395 0.052395
4.260000 0.051851 0.051851 0.051851 0.051851
4.290000 0.051293 0.051293 0.051293 0.051293
4.320000 0.050720 0.050720 0.050720 0.050720
4.350000 0.050132 0.050132 0.050132 0.050132
4.380000 0.049530 0.049530 0.049530 0.049530
4.410000 0.048914 0.048914 0.048914 0.048914
4.440000 0.048283 0.048283 0.048283 0.048283
4.470000 0.047637 0.047637 0.047637 0.047637
4.500000 0.046977 0.046977 0.046977 0.046977
4.530000 0.046304 0.046304 0.046304 0.046304
4.560000 0.045617 0.045617 0.045617 0.045617
4.590000 0.044916 0.044916 0.044916 0.044916
4.620000 0.044203 0.044203 0.044203 0.044203
4.650000 0.043478 0.043478 0.043478 0.043478
4.680000 0.042742 0.042742 0.042742 0.042742
4.710000 0.041994 0.041994 0.041994 0.041994
4.740000 0.041237 0.041237 0.041237 0.041237
4.770000 0.040470 0.040470 0.040470 0.040470
4.800000 0.039695 0.039695 0.039695 0.039695
4.830000 0.038913 0.038913 0.038913 0.038913
4.860000 0.038124 0.038124 0.038124 0.038124
4.890000 0.037330 0.037330 0.037330 0.037330
4.920000 0.036531 0.036531 0.036531 0.036531
4.950000 0.035730 0.035730 0.035730 0.035730
4.980000 0.034926 0.034926 0.034926 0.034926
5.010000 0.034122 0.034122 0.034122 0.034122
5.040000 0.033318 0.033318 0.033318 0.033318
5.070000 0.032515 0.032515 0.032515 0.032515
5.100000 0.031716 0.031716 0.031716 0.031716
5.130000 0.030921 0.030921 0.030921 0.030921
5.160000 0.030131 0.030131 0.030131 0.030131
5.190000 0.029348 0.029348 0.029348 0.029348
5.220000 0.028573 0.028573 0.028573 0.028573
5.250000 0.027807 0.027807 0.027807 0.027807
5.280000 0.027050 0.027050 0.027050 0.027050
5.310000 0.026305 0.026305 0.026305 0.026305
5.340000 0.025572 0.025572 0.025572 0.025572
5.370000 0.024851 0.024851 0.024851 0.024851
5.400000 0.024144 0.024144 0.024144 0.024144
5.430000 0.023452 0.023452 0.023452 0.023452
5.460000 0.022774 0.022774 0.022774 0.022774
5.490000 0.022111 0.022111 0.022111 0.022111
5.520000 0.021464 0.021464 0.021464 0.021464
5.550000 0.020833 0.020833 0.020833 0.020833
5.580000 0.020218 0.020218 0.020218 0.020218
5.610000 0.019619 0.019619 0.019619 0.019619
