# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
0.990000 0.164419 0.164419 0.164419 0.164419
1.020000 0.166633 0.166633 0.166633 0.166633
1.050000 0.165509 0.165509 0.165509 0.165509
1.080000 0.161799 0.161799 0.161799 0.161799
1.110000 0.156478 0.156478 0.156478 0.156478
1.140000 0.150456 0.150456 0.150456 0.150456
1.170000 0.144423 0.144423 0.144423 0.144423
1.200000 0.138820 0.138820 0.138820 0.138820
1.230000 0.133869 0.133869 0.133869 0.133869
1.260000 0.129639 0.129639 0.129639 0.129639
1.290000 0.126092 0.126092 0.126092 0.126092
1.320000 0.123131 0.123131 0.123131 0.123131
1.350000 0.120629 0.120629 0.120629 0.120629
1.380000 0.118454 0.118454 0.118454 0.118454
1.410000 0.116484 0.116484 0.116484 0.116484
1.440000 0.114619 0.114619 0.114619 0.114619
1.470000 0.112786 0.112786 0.112786 0.112786
1.500000 0.110940 0.110940 0.110940 0.110940
1.530000 0.109065 0.109065 0.109065 0.109065
1.560000 0.107162 0.107162 0.107162 0.107162
1.590000 0.105251 0.105251 0.105251 0.105251
1.620000 0.103357 0.103357 0.103357 0.103357
1.650000 0.101506 0.101506 0.101506 0.101506
1.680000 0.099727 0.099727 0.099727 0.099727
1.710000 0.098041 0.098041 0.098041 0.098041
1.740000 0.096463 0.096463 0.096463 0.096463
1.770000 0.095007 0.095007 0.095007 0.095007
1.800000 0.093676 0.093676 0.093676 0.093676
1.830000 0.092472 0.092472 0.092472 0.092472
1.860000 0.091391 0.091391 0.091391 0.091391
1.890000 0.090428 0.090428 0.090428 0.090428
1.920000 0.089574 0.089574 0.089574 0.089574
1.950000 0.088819 0.088819 0.088819 0.088819
1.980000 0.088151 0.088151 0.088151 0.088151
2.010000 0.087560 0.087560 0.087560 0.087560
2.040000 0.087032 0.087032 0.087032 0.087032
2.070000 0.086558 0.086558 0.086558 0.086558
2.100000 0.086126 0.086126 0.086126 0.086126
2.130000 0.085726 0.085726 0.085726 0.085726
2.160000 0.085348 0.085348 0.085348 0.085348
2.190000 0.084985 0.084985 0.084985 0.084985
2.220000 0.084628 0.084628 0.084628 0.084628
2.250000 0.084273 0.084273 0.084273 0.084273
2.280000 0.083914 0.083914 0.083914 0.083914
2.310000 0.083547 0.083547 0.083547 0.083547
2.340000 0.083168 0.083168 0.083168 0.083168
2.370000 0.082777 0.082777 0.082777 0.082777
