# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-5.010840282475720e+02 1.999975763719414e+00 8.050995852250886e-03 1.999975740917918e+00 8.050995856129742e-03 
-5.004557097168540e+02 1.999975763716408e+00 8.060928547201418e-03 1.999975740914912e+00 8.060928550945520e-03 
-4.998273911861361e+02 1.999975763713390e+00 8.070886424544774e-03 1.999975740911894e+00 8.070886428288723e-03 
-4.991990726554181e+02 1.999975763710362e+00 8.080869579871364e-03 1.999975740908865e+00 8.080869583576539e-03 
-4.985707541247002e+02 1.999975763707321e+00 8.090878108326288e-03 1.999975740905825e+00 8.090878112128830e-03 
-4.979424355939822e+02 1.999975763704269e+00 8.100912106295433e-03 1.999975740902773e+00 8.100912110281841e-03 
-4.973141170632642e+02 1.999975763701205e+00 8.110971670184638e-03 1.999975740899709e+00 8.110971673966988e-03 
-4.966857985325463e+02 1.999975763698129e+00 8.121056896870468e-03 1.999975740896633e+00 8.121056900578058e-03 
-4.960574800018283e+02 1.999975763695043e+00 8.131167883536572e-03 1.999975740893547e+00 8.131167887363927e-03 
-4.954291614711104e+02 1.999975763691944e+00 8.141304728839810e-03 1.999975740890448e+00 8.141304732437959e-03 
-4.948008429403924e+02 1.999975763688834e+00 8.151467530780207e-03 1.999975740887337e+00 8.151467534306553e-03 
-4.941725244096745e+02 1.999975763685711e+00 8.161656388270155e-03 1.999975740884215e+00 8.161656391968836e-03 
-4.935442058789565e+02 1.999975763682577e+00 8.171871401021935e-03 1.999975740881081e+00 8.171871404677705e-03 
-4.929158873482385e+02 1.999975763679430e+00 8.182112668942684e-03 1.999975740877935e+00 8.182112672483893e-03 
-4.922875688175206e+02 1.999975763676272e+00 8.192380292421961e-03 1.999975740874775e+00 8.192380296114618e-03 
-4.916592502868026e+02 1.999975763673102e+00 8.202674372604482e-03 1.999975740871605e+00 8.202674376248997e-03 
-4.910309317560847e+02 1.999975763669919e+00 8.212995010951726e-03 1.999975740868422e+00 8.212995014790461e-03 
-4.904026132253667e+02 1.999975763666724e+00 8.223342309639489e-03 1.999975740865227e+00 8.223342313233475e-03 
-4.897742946946487e+02 1.999975763663517e+00 8.233716370884755e-03 1.999975740862021e+00 8.233716374770120e-03 
-4.891459761639308e+02 1.999975763660298e+00 8.244117298111628e-03 1.999975740858801e+00 8.244117301903497e-03 
-4.885176576332128e+02 1.999975763657065e+00 8.254545194910090e-03 1.999975740855569e+00 8.254545198461277e-03 
-4.878893391024949e+02 1.999975763653821e+00 8.265000165445943e-03 1.999975740852324e+00 8.265000169002751e-03 
-4.872610205717769e+02 1.999975763650564e+00 8.275482314027097e-03 1.999975740849067e+00 8.275482317632032e-03 
-4.866327020410590e+02 1.999975763647294e+00 8.285991746343632e-03 1.999975740845797e+00 8.285991749917218e-03 
-4.860043835103410e+02 1.999975763644012e+00 8.296528568000186e-03 1.999975740842515e+00 8.296528571611880e-03 
-4.853760649796230e+02 1.999975763640716e+00 8.307092885212614e-03 1.999975740839219e+00 8.307092888863055e-03 
-4.847477464489051e+02 1.999975763637408e+00 8.317684804915168e-03 1.999975740835912e+00 8.317684808600123e-03 
-4.841194279181871e+02 1.999975763634088e+00 8.328304434965253e-03 1.999975740832590e+00 8.328304438559322e-03 
-4.834911093874692e+02 1.999975763630753e+00 8.338951882754617e-03 1.999975740829256e+00 8.338951886241078e-03 
