# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
1.800000 0.105257 0.105396 0.105257 0.105396
1.830000 0.101764 0.101912 0.101764 0.101912
1.860000 0.098098 0.098240 0.098098 0.098240
1.890000 0.094484 0.094604 0.094484 0.094604
1.920000 0.091156 0.091243 0.091156 0.091243
1.950000 0.088311 0.088359 0.088311 0.088359
1.980000 0.086079 0.086089 0.086079 0.086089
2.010000 0.084523 0.084503 0.084523 0.084503
2.040000 0.083640 0.083599 0.083640 0.083599
2.070000 0.083363 0.083315 0.083363 0.083315
2.100000 0.083572 0.083530 0.083572 0.083530
2.130000 0.084091 0.084068 0.084091 0.084068
2.160000 0.084711 0.084713 0.084711 0.084713
2.190000 0.085215 0.085243 0.085215 0.085243
2.220000 0.085422 0.085470 0.085422 0.085470
2.250000 0.085227 0.085285 0.085227 0.085285
2.280000 0.084620 0.084677 0.084620 0.084677
2.310000 0.083672 0.083721 0.083672 0.083721
2.340000 0.082493 0.082531 0.082493 0.082531
2.370000 0.081176 0.081204 0.081176 0.081204
2.400000 0.079758 0.079778 0.079758 0.079778
2.430000 0.078209 0.078221 0.078209 0.078221
2.460000 0.076449 0.076446 0.076449 0.076446
2.490000 0.074387 0.074361 0.074387 0.074361
2.520000 0.071970 0.071911 0.071970 0.071911
2.550000 0.069207 0.069109 0.069207 0.069109
2.580000 0.066172 0.066036 0.066172 0.066036
2.610000 0.062978 0.062807 0.062978 0.062807
2.640000 0.059739 0.059542 0.059739 0.059542
2.670000 0.056551 0.056339 0.056551 0.056339
2.700000 0.053485 0.053264 0.053485 0.053264
2.730000 0.050587 0.050368 0.050587 0.050368
2.760000 0.047894 0.047683 0.047894 0.047683
2.790000 0.045435 0.045241 0.045435 0.045241
2.820000 0.043234 0.043065 0.043234 0.043065
2.850000 0.041310 0.041171 0.041310 0.041171
2.880000 0.039672 0.039570 0.039672 0.039570
2.910000 0.038324 0.038262 0.038324 0.038262
2.940000 0.037264 0.037246 0.037264 0.037246
2.970000 0.036488 0.036515 0.036488 0.036515
3.000000 0.035990 0.036065 0.035990 0.036065
3.030000 0.035767 0.035892 0.035767 0.035892
3.060000 0.035819 0.035994 0.035819 0.035994
3.090000 0.036147 0.036373 0.036147 0.036373
3.120000 0.036758 0.037035 0.036758 0.037035
3.150000 0.037659 0.037985 0.037659 0.037985
3.180000 0.038861 0.039233 0.038861 0.039233
3.210000 0.040374 0.040787 0.040374 0.040787
3.240000 0.042205 0.042651 0.042205 0.042651
3.270000 0.044356 0.044822 0.044356 0.044822
3.300000 0.046817 0.047287 0.046817 0.047287
3.330000 0.049562 0.050015 0.049562 0.050015
3.360000 0.052545 0.052957 0.052545 0.052957
3.390000 0.055696 0.056040 0.055696 0.056040
3.420000 0.058921 0.059172 0.058921 0.059172
3.450000 0.062109 0.062246 0.062109 0.062246
3.480000 0.065142 0.065153 0.065142 0.065153
3.510000 0.067908 0.067790 0.067908 0.067790
3.540000 0.070313 0.070074 0.070313 0.070074
3.570000 0.072293 0.071949 0.072293 0.071949
3.600000 0.073815 0.073389 0.073815 0.073389
3.630000 0.074880 0.074395 0.074880 0.074395
3.660000 0.075510 0.074992 0.075510 0.074992
3.690000 0.075750 0.075221 0.075750 0.075221
3.720000 0.075656 0.075134 0.075656 0.075134
3.750000 0.075289 0.074788 0.075289 0.074788
3.780000 0.074708 0.074235 0.074708 0.074235
3.810000 0.073964 0.073522 0.073964 0.073522
3.840000 0.073094 0.072684 0.073094 0.072684
3.870000 0.072121 0.071741 0.072121 0.071741
3.900000 0.071052 0.070701 0.071052 0.070701
3.930000 0.069883 0.069561 0.069883 0.069561
3.960000 0.068603 0.068314 0.068603 0.068314
3.990000 0.067199 0.066949 0.067199 0.066949
4.020000 0.065657 0.065452 0.065657 0.065452
4.050000 0.063967 0.063816 0.063967 0.063816
4.080000 0.062123 0.062036 0.062123 0.062036
4.110000 0.060129 0.060114 0.060129 0.060114
4.140000 0.058000 0.058062 0.058000 0.058062
4.170000 0.055757 0.055901 0.055757 0.055901
4.200000 0.053433 0.053657 0.053433 0.053657
4.230000 0.051059 0.051361 0.051059 0.051361
4.260000 0.048670 0.049041 0.048670 0.049041
4.290000 0.046294 0.046728 0.046294 0.046728
4.320000 0.043959 0.044444 0.043959 0.044444
4.350000 0.041685 0.042212 0.041685 0.042212
4.380000 0.039493 0.040051 0.039493 0.040051
4.410000 0.037399 0.037977 0.037399 0.037977
4.440000 0.035417 0.036003 0.035417 0.036003
4.470000 0.033557 0.034141 0.033557 0.034141
4.500000 0.031827 0.032398 0.031827 0.032398
4.530000 0.030231 0.030781 0.030231 0.030781
4.560000 0.028770 0.029291 0.028770 0.029291
4.590000 0.027443 0.027928 0.027443 0.027928
4.620000 0.026246 0.026690 0.026246 0.026690
4.650000 0.025176 0.025574 0.025176 0.025574
4.680000 0.024227 0.024575 0.024227 0.024575
4.710000 0.023395 0.023690 0.023395 0.023690
4.740000 0.022676 0.022914 0.022676 0.022914
4.770000 0.022067 0.022244 0.022067 0.022244
4.800000 0.021565 0.021678 0.021565 0.021678
4.830000 0.021170 0.021214 0.021170 0.021214
4.860000 0.020881 0.020853 0.020881 0.020853
